LevelNum,Level1,Level2,Level3,Level4
1,Active Life,,,
2,,ATV Rentals/Tours,,
2,,Amateur Sports Teams,,
2,,Amusement Parks,,
2,,Aquariums,,
2,,Archery,,
2,,Badminton,,
2,,Basketball Courts,,
2,,Bathing Area,,
2,,Batting Cages,,
2,,Beach Volleyball,,
2,,Beaches,,
2,,Bicycle Paths,,
2,,Bike Rentals,,
2,,Boating,,
2,,Bowling,,
2,,Bungee Jumping,,
2,,Challenge Courses,,
2,,Climbing,,
2,,Cycling Classes,,
2,,Day Camps,,
2,,Disc Golf,,
2,,Diving,,
3,,Free Diving,,
3,,,Scuba Diving,
2,,Escape Games,,
2,,Experiences,,
2,,Fencing Clubs,,
2,,Fishing,,
2,,Fitness & Instruction,,
3,,,Barre Classes,
3,,,Boot Camps,
3,,,Boxing,
3,,,Cardio Classes,
3,,,Dance Studios,
3,,,EMS Training,
3,,,Golf Lessons,
3,,,Gyms,
3,,,Martial Arts,
3,,,Meditation Centers,
3,,,Pilates,
3,,,Swimming Lessons/Schools,
3,,,Tai Chi,
3,,,Trainers,
3,,,Yoga,
2,,Flyboarding,,
2,,Gliding,,
2,,Go Karts,,
2,,Golf,,
2,,Gun/Rifle Ranges,,
2,,Gymnastics,,
2,,Handball,,
2,,Hang Gliding,,
2,,Hiking,,
2,,Horse Racing,,
2,,Horseback Riding,,
2,,Hot Air Balloons,,
2,,Indoor Playcentre,,
2,,Jet Skis,,
2,,Kids Activities,,
2,,Kiteboarding,,
2,,Lakes,,
2,,Laser Tag,,
2,,Lawn Bowling,,
2,,Leisure Centers,,
2,,Mini Golf,,
2,,Mountain Biking,,
2,,Nudist,,
2,,Paddleboarding,,
2,,Paintball,,
2,,Parks,,
3,,,Dog Parks,
3,,,Skate Parks,
2,,Playgrounds,,
2,,Public Plazas,,
2,,Races & Competitions,,
2,,Rafting/Kayaking,,
2,,Recreation Centers,,
2,,Rock Climbing,,
2,,Sailing,,
2,,Skating Rinks,,
2,,Skiing,,
2,,Skydiving,,
2,,Sledding,,
2,,Snorkeling,,
2,,Soccer,,
2,,Sport Equipment Hire,,
2,,Sports Clubs,,
2,,Squash,,
2,,Summer Camps,,
2,,Surf Lifesaving,,
2,,Surfing,,
2,,Swimming Pools,,
2,,Tennis,,
2,,Trampoline Parks,,
2,,Tubing,,
2,,Volleyball,,
2,,Water Parks,,
2,,Wildlife Hunting Ranges,,
2,,Zoos,,
2,,Zorbing,,
1,Arts & Entertainment,,,
2,,Arcades,,
2,,Art Galleries,,
2,,Betting Centers,,
2,,Bingo Halls,,
2,,Botanical Gardens,,
2,,Cabaret,,
2,,Casinos,,
2,,Castles,,
2,,Choirs,,
2,,Cinema,,
2,,Country Clubs,,
2,,Cultural Center,,
2,,Farms,,
3,,,Attraction Farms,
3,,,Pick Your Own Farms,
3,,,Ranches,
2,,Festivals,,
3,,,Christmas Markets,
3,,,Fun Fair,
3,,,General Festivals,
3,,,Trade Fairs,
2,,Jazz & Blues,,
2,,LAN Centers,,
2,,Mah Jong Halls,,
2,,Marching Bands,,
2,,Museums,,
2,,Music Venues,,
2,,Observatories,,
2,,Opera & Ballet,,
2,,Pachinko,,
2,,Paint & Sip,,
2,,Performing Arts,,
2,,Planetarium,,
2,,Professional Sports Teams,,
2,,Psychics & Astrologers,,
2,,Race Tracks,,
2,,Social Clubs,,
2,,Stadiums & Arenas,,
2,,Street Art,,
2,,Tablao Flamenco,,
2,,Ticket Sales,,
2,,Wineries,,
3,,,Wine Tasting Room,
1,Automotive,,,
2,,Aircraft Dealers,,
2,,Auto Customization,,
2,,Auto Detailing,,
2,,Auto Electric Services,,
2,,Auto Glass Services,,
2,,Auto Loan Providers,,
2,,Auto Parts & Supplies,,
2,,Auto Repair,,
2,,Boat Dealers,,
2,,Body Shops,,
2,,Car Brokers,,
2,,Car Buyers,,
2,,Car Dealers,,
2,,Car Inspectors,,
2,,Car Share Services,,
2,,Car Stereo Installation,,
2,,Car Wash,,
2,,Fuel Docks,,
2,,Gas & Service Stations,,
2,,Marinas,,
2,,Mobile Dent Repair,,
2,,Mobility Equipment Sales & Services,,
2,,Motorcycle Dealers,,
2,,Motorcycle Repair,,
2,,Motorsport Vehicle Dealers,,
2,,Motorsport Vehicle Repairs,,
2,,Oil Change Stations,,
2,,Parking,,
2,,RV Dealers,,
2,,RV Repair,,
2,,Registration Services,,
2,,Smog Check Stations,,
2,,Tires,,
2,,Towing,,
2,,Transmission Repair,,
2,,Truck Rental,,
2,,Vehicle Shipping,,
2,,Wheel & Rim Repair,,
2,,Windshield Installation & Repair,,
1,Beauty & Spas,,,
2,,Barbers,,
2,,Cosmetics & Beauty Supply,,
2,,Day Spas,,
2,,Erotic Massage,,
2,,Eyelash Service,,
2,,Hair Extensions,,
2,,Hair Loss Centers,,
2,,Hair Removal,,
3,,,Laser Hair Removal,
3,,,Sugaring,
3,,,Waxing,
2,,Hair Salons,,
3,,,Blow Dry/Out Services,
3,,,Hair Extensions,
3,,,Hair Stylists,
3,,,Men's Hair Salons,
2,,Hot Springs,,
2,,Makeup Artists,,
2,,Massage,,
2,,Medical Spas,,
2,,Nail Salons,,
2,,Perfume,,
2,,Permanent Makeup,,
2,,Piercing,,
2,,Rolfing,,
2,,Skin Care,,
2,,Tanning,,
3,,,Spray Tanning,
3,,,Tanning Beds,
2,,Tattoo,,
2,,Teeth Whitening,,
1,Bicycles,,,
2,,Bike Associations,,
2,,Bike Repair,,
2,,Bike Shop,,
2,,Special Bikes,,
1,Education,,,
2,,Adult Education,,
2,,Art Classes,,
2,,College Counseling,,
2,,Colleges & Universities,,
2,,Educational Services,,
2,,Elementary Schools,,
2,,Middle Schools & High Schools,,
2,,Preschools,,
2,,Private Schools,,
2,,Private Tutors,,
2,,Religious Schools,,
2,,Special Education,,
2,,Specialty Schools,,
3,,,Art Schools,
3,,,Bartending Schools,
3,,,CPR Classes,
3,,,Childbirth Education,
3,,,Circus Schools,
3,,,Cooking Schools,
3,,,Cosmetology Schools,
3,,,Dance Schools,
3,,,Drama Schools,
3,,,Driving Schools,
3,,,Firearm Training,
3,,,First Aid Classes,
3,,,Flight Instruction,
3,,,Food Safety Training,
3,,,Language Schools,
3,,,Massage Schools,
3,,,Nursing Schools,
3,,,Parenting Classes,
3,,,Pole Dancing Classes,
3,,,Samba Schools,
3,,,Ski Schools,
3,,,Swimming Lessons/Schools,
3,,,Vocational & Technical School,
2,,Tasting Classes,,
3,,,Cheese Tasting Classes,
3,,,Wine Tasting Classes,
2,,Test Preparation,,
2,,Tutoring Centers,,
1,Event Planning & Services,,,
2,,Bartenders,,
2,,Boat Charters,,
2,,Cards & Stationery,,
2,,Caricatures,,
2,,Caterers,,
2,,Clowns,,
2,,DJs,,
2,,Face Painting,,
2,,Golf Cart Rentals,,
2,,Henna Artists,,
2,,Hotels,,
3,,,Agriturismi,
3,,,Mountain Huts,
3,,,Pensions,
3,,,Residences,
3,,,Rest Stops,
2,,Magicians,,
2,,Mohels,,
2,,Musicians,,
2,,Officiants,,
2,,Party & Event Planning,,
2,,Party Bike Rentals,,
2,,Party Bus Rentals,,
2,,Party Characters,,
2,,Party Equipment Rentals,,
2,,Party Supplies,,
2,,Personal Chefs,,
2,,Photo Booth Rentals,,
2,,Photographers,,
3,,,Event Photography,
3,,,Session Photography,
2,,Trivia Hosts,,
2,,Valet Services,,
2,,Venues & Event Spaces,,
2,,Videographers,,
2,,Wedding Chapels,,
2,,Wedding Planning,,
1,Financial Services,,,
2,,Banks & Credit Unions,,
2,,Check Cashing/Pay-day Loans,,
2,,Currency Exchange,,
2,,Debt Relief Services,,
2,,Financial Advising,,
2,,Insurance,,
3,,,Auto Insurance,
3,,,Home & Rental Insurance,
3,,,Life Insurance,
2,,Investing,,
2,,Tax Services,,
1,Food,,,
2,,Backshop,,
2,,Bagels,,
2,,Bakeries,,
2,,"Beer, Wine & Spirits",,
2,,Beverage Store,,
2,,Breweries,,
2,,Bubble Tea,,
2,,Butcher,,
2,,CSA,,
2,,Churros,,
2,,Coffee & Tea,,
2,,Coffee & Tea Supplies,,
2,,Convenience Stores,,
2,,Cupcakes,,
2,,Delicatessen,,
2,,Desserts,,
2,,Distilleries,,
2,,Do-It-Yourself Food,,
2,,Donairs,,
2,,Donuts,,
2,,Empanadas,,
2,,Ethic Grocery,,
2,,Ethnic Grocery,,
2,,Farmers Market,,
2,,Fishmonger,,
2,,Food Delivery Services,,
2,,Food Trucks,,
2,,Friterie,,
2,,Gelato,,
2,,Grocery,,
2,,Hawker Centre,,
2,,Honey,,
2,,Ice Cream & Frozen Yogurt,,
2,,Internet Cafes,,
2,,Japanese Sweets,,
3,,,Taiyaki,
2,,Juice Bars & Smoothies,,
2,,Kiosk,,
2,,Milkshake Bars,,
2,,Mulled Wine,,
2,,Nasi Lemak,,
2,,Organic Stores,,
2,,Panzerotti,,
2,,Parent Cafes,,
2,,Patisserie/Cake Shop,,
2,,Piadina,,
2,,Pretzels,,
2,,Salumerie,,
2,,Shaved Ice,,
2,,Specialty Food,,
3,,,Candy Stores,
3,,,Cheese Shops,
3,,,Chocolatiers & Shops,
3,,,Ethnic Food,
3,,,Frozen Food,
3,,,Fruits & Veggies,
3,,,Health Markets,
3,,,Herbs & Spices,
3,,,Macarons,
3,,,Meat Shops,
3,,,Pasta Shops,
3,,,Popcorn Shops,
3,,,Seafood Markets,
3,,,Tofu Shops,
2,,Street Vendors,,
2,,Tea Rooms,,
2,,Torshi,,
2,,Tortillas,,
2,,Wineries,,
3,,,Wine Tasting Room,
2,,Zapiekanka,,
1,Health & Medical,,,
2,,Acupuncture,,
2,,Assisted Living Facilities,,
2,,Ayurveda,,
2,,Blood & Plasma Donation Centers,,
2,,Cannabis Clinics,,
3,,,Cannabis Tours,
2,,Chiropractors,,
2,,Colonics,,
2,,Concierge Medicine,,
2,,Counseling & Mental Health,,
3,,,Psychoanalysts,
3,,,Psychologists,
3,,,Psychotherapists,
3,,,Sex Therapists,
3,,,Sports Psychologists,
2,,Dental Hygienists,,
3,,,Mobile Clinics,
3,,,Storefront Clinics,
2,,Dentists,,
3,,,Cosmetic Dentists,
3,,,Endodontists,
3,,,General Dentistry,
3,,,Oral Surgeons,
3,,,Orthodontists,
3,,,Pediatric Dentists,
3,,,Periodontists,
2,,Diagnostic Services,,
3,,,Diagnostic Imaging,
3,,,Laboratory Testing,
2,,Dialysis Clinics,,
2,,Doctors,,
3,,,Allergists,
3,,,Anesthesiologists,
3,,,Audiologist,
3,,,Cardiologists,
3,,,Cosmetic Surgeons,
3,,,Dermatologists,
3,,,Ear Nose & Throat,
3,,,Endocrinologists,
3,,,Family Practice,
3,,,Fertility,
3,,,Gastroenterologist,
3,,,Gerontologists,
3,,,Homeopathic,
3,,,Internal Medicine,
3,,,Naturopathic/Holistic,
3,,,Nephrologists,
3,,,Neurologist,
3,,,Obstetricians & Gynecologists,
3,,,Oncologist,
3,,,Ophthalmologists,
3,,,Orthopedists,
3,,,Osteopathic Physicians,
3,,,Pediatricians,
3,,,Podiatrists,
3,,,Proctologists,
3,,,Psychiatrists,
3,,,Pulmonologist,
3,,,Radiologists,
3,,,Rheumatologists,
3,,,Spine Surgeons,
3,,,Sports Medicine,
3,,,Surgeons,
3,,,Tattoo Removal,
3,,,Urologists,
2,,Doulas,,
2,,Emergency Rooms,,
2,,Habilitative Services,,
2,,Halotherapy,,
2,,Health Insurance Offices,,
2,,Hearing Aid Providers,,
2,,Hearing Aids,,
2,,Home Health Care,,
2,,Hospice,,
2,,Hospitals,,
2,,Hypnosis/Hypnotherapy,,
2,,Lactation Services,,
2,,Laser Eye Surgery/Lasik,,
2,,Lice Services,,
2,,Massage Therapy,,
2,,Medical Centers,,
3,,,Bulk Billing,
3,,,Osteopaths,
3,,,Walk-in Clinics,
2,,Medical Foot Care,,
2,,Medical Spas,,
2,,Medical Transportation,,
2,,Midwives,,
2,,Nurse Practitioner,,
2,,Nutritionists,,
2,,Occupational Therapy,,
2,,Optometrists,,
2,,Orthotics,,
2,,Oxygen Bars,,
2,,Personal Care Services,,
2,,Pharmacy,,
2,,Physical Therapy,,
2,,Placenta Encapsulations,,
2,,Prenatal/Perinatal Care,,
2,,Prosthetics,,
2,,Prosthodontists,,
2,,Reflexology,,
2,,Rehabilitation Center,,
2,,Reiki,,
2,,Retirement Homes,,
2,,Saunas,,
2,,Sleep Specialists,,
2,,Speech Therapists,,
2,,Traditional Chinese Medicine,,
2,,Urgent Care,,
2,,Weight Loss Centers,,
1,Home Services,,,
2,,Building Supplies,,
2,,Cabinetry,,
2,,Carpenters,,
2,,Carpet Installation,,
2,,Carpeting,,
2,,Childproofing,,
2,,Chimney Sweeps,,
2,,Contractors,,
2,,Countertop Installation,,
2,,Damage Restoration,,
2,,Demolition Services,,
2,,Door Sales/Installation,,
2,,Drywall Installation & Repair,,
2,,Electricians,,
2,,Fences & Gates,,
2,,Fire Protection Services,,
2,,Fireplace Services,,
2,,Firewood,,
2,,Flooring,,
2,,Furniture Assembly,,
2,,Garage Door Services,,
2,,Gardeners,,
2,,Glass & Mirrors,,
2,,Gutter Services,,
2,,Handyman,,
2,,Heating & Air Conditioning/HVAC,,
2,,Home Automation,,
2,,Home Cleaning,,
2,,Home Inspectors,,
2,,Home Network Installation,,
2,,Home Organization,,
2,,Home Theatre Installation,,
2,,Home Window Tinting,,
2,,House Sitters,,
2,,Insulation Installation,,
2,,Interior Design,,
2,,Internet Service Providers,,
2,,Irrigation,,
2,,Keys & Locksmiths,,
2,,Landscape Architects,,
2,,Landscaping,,
2,,Lighting Fixtures & Equipment,,
2,,Masonry/Concrete,,
2,,Movers,,
2,,Painters,,
2,,Plumbing,,
2,,Pool & Hot Tub Service,,
2,,Pool Cleaners,,
2,,Pressure Washers,,
2,,Real Estate,,
3,,,Apartments,
3,,,Art Space Rentals,
3,,,Commercial Real Estate,
3,,,Estate Liquidation,
3,,,Home Staging,
3,,,Kitchen Incubators,
3,,,Mobile Home Dealers,
3,,,Mortgage Brokers,
3,,,Property Management,
3,,,Real Estate Agents,
3,,,Real Estate Services,
3,,,Shared Office Spaces,
3,,,University Housing,
2,,Refinishing Services,,
2,,Roof Inspectors,,
2,,Roofing,,
2,,Security Systems,,
2,,Shades & Blinds,,
2,,Shutters,,
2,,Solar Installation,,
2,,Structural Engineers,,
2,,Stucco Services,,
2,,Television Service Providers,,
2,,Tiling,,
2,,Tree Services,,
2,,Utilities,,
2,,Vinyl Siding,,
2,,Water Heater Installation/Repair,,
2,,Water Purification Services,,
2,,Window Washing,,
2,,Windows Installation,,
1,Hotels & Travel,,,
2,,Airports,,
2,,Bed & Breakfast,,
2,,Campgrounds,,
2,,Car Rental,,
2,,Guest Houses,,
2,,Health Retreats,,
2,,Hostels,,
2,,Hotels,,
3,,,Agriturismi,
